Pincode,Latitude,Longitude
628202,8.4956,78.11917
628623,8.4956,78.11918
628207,8.4956,78.11917
627108,8.49625,77.72345
680014,8.49648,76.90168
627501,8.49649,77.55801
627108,8.49679,77.59444
628215,8.49772,78.12728
627108,8.49831,77.69049
695033,8.49861,76.94933
628613,8.49894,77.8846
627107,8.499,77.55522
695125,8.49919,77.09075
695021,8.49979,76.89839
695006,8.5,77.01
695013,8.5,77
695505,8.5,77.18
695505,8.5,77.2
695029,8.5,76.92
695001,8.5,76.95
628215,8.50017,78.12514
628251,8.50017,78.12514
627355,8.50037,77.76396
628218,8.50261,78.08675
628701,8.50317,77.91365
695573,8.50589,77.03569
695572,8.50603,77.08097
695033,8.50753,76.93444
641603,8.50798,76.92999
628205,8.50883,78.04636
695010,8.51,76.97
695125,8.51,77.12
695125,8.51,77.16
695505,8.51,77.2
695033,8.51,76.96
628205,8.51031,78.03309
627112,8.51031,78.03309
695570,8.5106,77.0519
628617,8.51238,77.94817
695010,8.51406,76.97144
628206,8.5141,78.04665
628213,8.51451,78.01669
627501,8.51497,77.54942
627501,8.51555,77.55938
629102,8.51606,77.31611
695003,8.51875,76.96117
627501,8.51876,77.57247
627501,8.51891,77.55866
628216,8.51997,78.11614
695013,8.52,77.01
695573,8.52,77.03
695505,8.52,77.18
695572,8.52,77.12
695572,8.52,77.08
695572,8.52,77.14
695021,8.52,76.9
695583,8.52,76.89
695004,8.52,76.94
627108,8.52097,77.70697
628613,8.52298,77.88477
628701,8.52302,77.90103
695583,8.52408,76.87422
695123,8.52747,77.03876
628218,8.52761,78.0583
627501,8.52784,77.56003
695011,8.52844,76.91677
628701,8.5287,77.93174
628613,8.52914,77.85003
628205,8.52982,78.04557
695013,8.53,76.99
695572,8.53,77.15
695572,8.53,77.17
695011,8.53,76.91
695004,8.53,76.94
691553,8.53,76.51
627354,8.53059,77.72345
628613,8.53142,77.86817
695013,8.53156,76.98575
628218,8.53219,78.04553
691001,8.53251,76.34547
628617,8.53384,77.95911
628218,8.53552,78.05721
695575,8.53688,77.08667
695575,8.53756,77.10681
628613,8.53832,77.83101
627501,8.53867,77.53676
695005,8.53961,76.96717
695013,8.54,77
695543,8.54,77.07
695543,8.54,77.05
695011,8.54,76.93
695011,8.54,76.91
627502,8.54256,77.56978
627354,8.54492,77.76836
695015,8.54531,76.94503
628617,8.54668,77.9687
627502,8.5476,77.57521
627355,8.54786,77.81411
628201,8.54828,78.06234
627657,8.54844,77.76667
695573,8.55,77.01
695543,8.55,77.05
695581,8.55,76.93
627427,8.55082,77.35958
628201,8.55185,78.06876
695017,8.55242,76.91536
628617,8.55271,77.94531
627152,8.55303,77.6754
627427,8.55303,77.36158
695575,8.555,77.07607
628617,8.55505,77.96388
695581,8.55689,76.88111
627502,8.55721,77.5656
627152,8.55805,77.67401
627354,8.55874,77.72757
695574,8.56,77.15
695574,8.56,77.12
695043,8.56,76.96
695574,8.56,77.14
695543,8.56,77.07
695015,8.56,76.93
628617,8.56106,77.97792
695582,8.56158,76.87147
628202,8.56259,78.09302
628617,8.56312,77.91173
628952,8.5634,77.4441
695543,8.5637,77.05225
628201,8.56383,78.06358
628204,8.56386,78.12339
628205,8.56548,78.09353
695574,8.56554,77.09961
695581,8.56678,76.88408
628202,8.56709,78.1037
628204,8.56709,78.12292
695564,8.56721,76.99023
628616,8.56814,77.98269
628613,8.56938,77.83931
627420,8.56942,77.4075
628622,8.5696,77.81886
695043,8.57,76.97
695564,8.57,77
695564,8.57,77.02
695542,8.57,77.07
628006,8.57008,78.24347
627152,8.57026,77.62122
627502,8.57026,77.56629
628616,8.57187,77.9751
628622,8.57211,77.87674
627001,8.57272,77.75358
627428,8.57272,77.75358
627413,8.57272,77.75358
627417,8.57272,77.75358
627105,8.57272,77.75358
627008,8.57272,77.75358
627005,8.57272,77.75358
628616,8.57327,77.99283
695588,8.57367,76.84951
695585,8.57368,76.87412
695586,8.57368,76.84951
695301,8.57452,76.85047
628618,8.57464,78.0405
628618,8.57494,78.00955
628618,8.57544,78.01306
627427,8.57598,77.34267
464114,8.57658,77.04853
628201,8.57678,78.07356
628212,8.57704,78.05371
628622,8.57722,77.82157
628211,8.57781,78.03197
628202,8.57822,78.09025
628212,8.57856,78.03531
628202,8.57935,78.09205
695543,8.58,77.06
695542,8.58,77.1
695543,8.58,77.04
695581,8.58,76.9
627151,8.58103,77.73702
695301,8.58322,76.85192
627152,8.58399,77.60543
628207,8.58657,78.0256
627152,8.58925,77.68683
627502,8.58939,77.57646
695542,8.59,77.07
695542,8.59,77.1
695541,8.59,77.05
695541,8.59,77.02
695028,8.59,76.97
627151,8.59048,77.72132
628207,8.59057,78.04455
628207,8.59067,78.0445
685619,8.59104,76.9497
628229,8.59192,78.08747
628614,8.59348,77.97743
695316,8.59351,76.85603
627152,8.59633,77.63552
627151,8.59653,77.71269
628612,8.59674,77.95763
628621,8.59891,77.89318
627354,8.5994,77.7735
627604,8.59969,77.53294
695542,8.6,77.08
628207,8.60176,78.05842
627151,8.60352,77.73642
628623,8.60367,77.98547
628614,8.60367,77.96939
695541,8.60464,77.00303
627151,8.60489,77.70621
628612,8.60524,77.94388
628612,8.60524,77.94388
628612,8.60656,77.94106
628207,8.60899,78.057
695541,8.61,77.05
695561,8.61,76.97
695028,8.61,76.93
695561,8.61025,76.99747
627414,8.61058,77.58591
627354,8.61314,77.75565
685565,8.61483,77.67147
628612,8.61524,77.94031
628151,8.61528,78.07019
628151,8.61564,78.05985
628621,8.61653,77.89603
695584,8.61789,76.88558
695305,8.61897,76.80225
627414,8.61935,77.56685
695541,8.62,77.02
695542,8.62,77.05
695542,8.62,77.09
695561,8.62,76.98
628151,8.62035,77.97732
628809,8.62035,77.97732
628621,8.62158,77.90975
628151,8.62228,78.07044
627152,8.62275,77.65047
627152,8.62367,77.66387
695123,8.62457,76.97727
627151,8.6255,77.70278
628802,8.62577,78.02056
628801,8.62592,78.01872
628151,8.62711,78.0602
628801,8.62848,78.03952
628622,8.62885,77.91293
628802,8.62885,77.91292
628251,8.62885,77.91292
628851,8.62885,77.91292
628102,8.62886,77.91292
695542,8.63,77.08
695542,8.63,77.1
695541,8.63,77.02
628601,8.63119,77.91114
628622,8.63167,77.84233
628621,8.63203,77.87947
628802,8.63308,78.01961
628151,8.63435,78.07447
628801,8.6346,78.06234
628151,8.6349,78.11511
628621,8.63683,77.9311
628721,8.6372,77.9118
628753,8.63789,77.97361
695541,8.64,77.05
695541,8.64,77.03
695541,8.64,77.06
695503,8.64197,77.22578
627007,8.64404,77.71926
628615,8.64453,77.85528
628802,8.64673,78.04023
628619,8.64758,77.90517
628751,8.64833,77.99772
627011,8.64884,77.78243
628619,8.64925,77.8646
627421,8.64931,77.43014
695551,8.65,77.1
628656,8.65054,77.92085
628620,8.65089,77.95875
628620,8.65128,77.95506
628620,8.65146,77.95531
695304,8.65186,76.78644
627356,8.65609,77.65967
628751,8.65617,77.99742
628751,8.65621,78.01144
628802,8.65628,78.06112
628619,8.65636,77.87603
627416,8.65737,77.48366
628251,8.65833,78.02311
695551,8.66,77.1
628620,8.66056,77.93353
627425,8.66059,77.31444
695568,8.66103,76.98159
628619,8.66186,77.85817
628809,8.66206,77.82875
695104,8.66217,76.81055
628251,8.66269,78.02204
695310,8.665,76.78557
627416,8.66576,77.46024
628152,8.66705,78.08912
627416,8.66729,77.43132
627452,8.66778,77.61683
695306,8.66856,76.7705
695607,8.66872,76.91564
627453,8.66978,77.58456
695551,8.67,77.07
695562,8.67,77.03
